#t   #theta   #omega   #xddot    #yddot
4.55 2.8387 1.16499 -4.38917 -9.79774
4.56 2.85013 1.12011 -4.22843 -9.79774
4.57 2.86111 1.07687 -4.07337 -9.79774
4.58 2.87167 1.03523 -3.92384 -9.79774
4.59 2.88182 0.995109 -3.77969 -9.79774
4.6 2.89158 0.956465 -3.64076 -9.79774
4.61 2.90096 0.919242 -3.5069 -9.79774
4.62 2.90997 0.883388 -3.37797 -9.79774
4.63 2.91863 0.848851 -3.25381 -9.79774
4.64 2.92695 0.815584 -3.13429 -9.79774
4.65 2.93494 0.783538 -3.01925 -9.79774
4.66 2.94262 0.752668 -2.90855 -9.79774
4.67 2.95 0.722929 -2.80206 -9.79774
4.68 2.95709 0.694277 -2.69964 -9.79774
4.69 2.96389 0.666672 -2.60116 -9.79774
4.7 2.97042 0.640073 -2.50649 -9.79774
4.71 2.97669 0.614441 -2.4155 -9.79774
4.72 2.98271 0.589738 -2.32807 -9.79774
4.73 2.98849 0.565928 -2.24408 -9.79774
4.74 2.99404 0.542975 -2.16343 -9.79774
4.75 2.99935 0.520845 -2.08599 -9.79774
4.76 3.00446 0.499506 -2.01166 -9.79774
4.77 3.00935 0.478925 -1.94033 -9.79774
4.78 3.01404 0.459072 -1.87191 -9.79774
4.79 3.01853 0.439917 -1.80629 -9.79774
4.8 3.02284 0.421432 -1.74339 -9.79774
4.81 3.02696 0.403588 -1.68311 -9.79774
4.82 3.03091 0.386358 -1.62536 -9.79774
4.83 3.03469 0.369718 -1.57007 -9.79774
4.84 3.03831 0.35364 -1.51715 -9.79774
4.85 3.04177 0.338102 -1.46652 -9.79774
4.86 3.04507 0.32308 -1.41812 -9.79774
4.87 3.04823 0.308551 -1.37186 -9.79774
4.88 3.05124 0.294492 -1.32768 -9.79774
4.89 3.05412 0.280884 -1.28552 -9.79774
4.9 3.05686 0.267704 -1.24531 -9.79774
4.91 3.05948 0.254933 -1.207 -9.79774
4.92 3.06196 0.242552 -1.17052 -9.79774
4.93 3.06433 0.230541 -1.13583 -9.79774
4.94 3.06657 0.218883 -1.10286 -9.79774
4.95 3.06871 0.207559 -1.07157 -9.79774
4.96 3.07073 0.196553 -1.04192 -9.79774
4.97 3.07264 0.185847 -1.01386 -9.79774
4.98 3.07444 0.175425 -0.987343 -9.79774
4.99 3.07615 0.165272 -0.962335 -9.79774
5 3.07775 0.155371 -0.938795 -9.79774
5.01 3.07926 0.145709 -0.91669 -9.79774
5.02 3.08067 0.136269 -0.895986 -9.79774
5.03 3.08198 0.127038 -0.876651 -9.79774
5.04 3.08321 0.118001 -0.858656 -9.79774
5.05 3.08434 0.109144 -0.841974 -9.79774
5.06 3.08539 0.100455 -0.826579 -9.79774
5.07 3.08635 0.0919196 -0.812449 -9.79774
5.08 3.08723 0.0835247 -0.799562 -9.79774
5.09 3.08802 0.0752578 -0.787898 -9.79774
5.1 3.08873 0.067106 -0.777439 -9.79774
5.11 3.08937 0.059057 -0.768171 -9.79774
5.12 3.08992 0.0510984 -0.760078 -9.79774
5.13 3.09039 0.043218 -0.753149 -9.79774
5.14 3.09078 0.0354038 -0.747373 -9.79774
5.15 3.0911 0.0276437 -0.742741 -9.79774
5.16 3.09133 0.019926 -0.739245 -9.79774
5.17 3.09149 0.0122389 -0.736882 -9.79774
5.18 3.09158 0.00457042 -0.735647 -9.79774
5.19 3.09159 -0.00309103 -0.735538 -9.79774
5.2 3.09152 -0.0107572 -0.736556 -9.79774
5.21 3.09137 -0.0184399 -0.738701 -9.79774
